Model,Training,Attack,Epsilon,Accuracy
ResNet18,CleanTrain,Clean,0.0,0.7439
ResNet18,CleanTrain,FGSM,0.007843137,0.4076
ResNet18,CleanTrain,PGD,0.007843137,0.3601
ResNet18,CleanTrain,FGSM,0.015686275,0.1896
ResNet18,CleanTrain,PGD,0.015686275,0.1075
ResNet18,CleanTrain,FGSM,0.031372549,0.0484
ResNet18,CleanTrain,PGD,0.031372549,0.0052
ResNet18,CleanTrain,FGSM,0.062745098,0.0138
ResNet18,CleanTrain,PGD,0.062745098,0.0001
ResNet18,AdvTrain_FGSM,Clean,0.0,0.4848
ResNet18,AdvTrain_FGSM,FGSM,0.007843137,0.4408
ResNet18,AdvTrain_FGSM,PGD,0.007843137,0.4407
ResNet18,AdvTrain_FGSM,FGSM,0.015686275,0.4021
ResNet18,AdvTrain_FGSM,PGD,0.015686275,0.3997
ResNet18,AdvTrain_FGSM,FGSM,0.031372549,0.3234
ResNet18,AdvTrain_FGSM,PGD,0.031372549,0.3111
ResNet18,AdvTrain_FGSM,FGSM,0.062745098,0.1892
ResNet18,AdvTrain_FGSM,PGD,0.062745098,0.1966
ResNet18,AdvTrain_PGD,Clean,0.0,0.4801
ResNet18,AdvTrain_PGD,FGSM,0.007843137,0.4369
ResNet18,AdvTrain_PGD,PGD,0.007843137,0.4362
ResNet18,AdvTrain_PGD,FGSM,0.015686275,0.3963
ResNet18,AdvTrain_PGD,PGD,0.015686275,0.3936
ResNet18,AdvTrain_PGD,FGSM,0.031372549,0.3206
ResNet18,AdvTrain_PGD,PGD,0.031372549,0.3101
ResNet18,AdvTrain_PGD,FGSM,0.062745098,0.1908
ResNet18,AdvTrain_PGD,PGD,0.062745098,0.1995
